User,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30
1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,1,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0
4,1,0,0,1,0,0,1,0,1,0,0,0,-1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,1,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
6,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,-1,1,0,0,1,1,0,1,1,0,0
7,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
8,0,0,1,1,0,0,0,0,1,-1,-1,0,1,0,1,0,0,0,1,0,-1,1,0,-1,0,0,-1,0,1,0
9,1,1,0,-1,0,0,-1,-1,0,1,0,-1,1,0,0,0,1,1,0,1,0,0,1,0,1,-1,0,0,0,0
10,0,0,1,1,0,0,-1,0,0,0,0,0,0,1,-1,0,-1,0,0,0,0,0,0,1,0,1,1,1,1,1
11,-1,1,-1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,-1,0,1,0,0,0,0,0,-1,0,0
12,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,-1,0
13,0,-1,0,-1,0,0,-1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
14,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
15,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,-1,0,0,1,0,0,0,0,1
16,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,1,0,0,0
17,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,1,0,1,0,1
18,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,-1,1,1
19,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0
20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
